main_module	food_microbiome_metabolic_module	food_microbiome_metabolic_function	food_microbiome_functional_gene	food_microbiome_COG_KO
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B001_Amidophosphoribosyltransferase	F3MB_01_B001_Amidophosphoribosyltransferase_purF	COG0034_K00764
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B002_Phosphoribosylamine-glycine_ligase	F3MB_01_B002_Phosphoribosylamine-glycine_ligase_purD	COG0151_K01945
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B003_Phosphoribosylglycinamide_formyltransferase_1	F3MB_01_B003_Phosphoribosylglycinamide_formyltransferase_1_purN	COG0299_K11175
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_1_purL	COG0046_K01952
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_2_purQ	COG0047_K01952
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_3_purS	COG1828_K01952
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B005_Phosphoribosylformylglycinamide_cyclo-ligase	F3MB_01_B005_Phosphoribosylformylglycinamide_cyclo-ligase_purM	COG0150_K01933
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B006_5-carboxyaminoimidazole_ribonucleotide_synthase	F3MB_01_B006_5-carboxyaminoimidazole_ribonucleotide_synthase_purK	COG0026_K01589
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B007_N5-carboxyaminoimidazole_ribonucleotide_mutase	F3MB_01_B007_N5-carboxyaminoimidazole_ribonucleotide_mutase_purE	COG0041_K01588
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B008_Phosphoribosylaminoimidazole-succinocarboxamide_synthase	F3MB_01_B008_Phosphoribosylaminoimidazole-succinocarboxamide_synthase_purC	COG0152_K01923
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B009_Adenylosuccinate_lyase	F3MB_01_B009_Adenylosuccinate_lyase_purB	COG0015_K01756
F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B010_Bifunctional_AICAR_transformylase_IMP_cyclohydrolase	F3MB_01_B010_Bifunctional_AICAR_transformylase_IMP_cyclohydrolase_purH_purO	COG0138_K00602
F3MB_nucleotide_metabolism	F3MB_02_adenine_biosynthesis	F3MB_02_B011_Adenylosuccinate_synthase	F3MB_02_B011_Adenylosuccinate_synthase_purA	COG0104_K01939
F3MB_nucleotide_metabolism	F3MB_02_adenine_biosynthesis	F3MB_02_B012_Adenylate_kinase	F3MB_02_B012_Adenylate_kinase_adk	COG0563_K00939
F3MB_nucleotide_metabolism	F3MB_02_adenine_biosynthesis	F3MB_02_B013_Phosphoribosylglycinamide_formyltransferase_2	F3MB_02_B013_Phosphoribosylglycinamide_formyltransferase_2_purT	COG0027_K08289
F3MB_nucleotide_metabolism	F3MB_03_guanine_biosynthesis	F3MB_03_B014_Inosine_5-monophosphate_dehydrogenase	F3MB_03_B014_Inosine_5-monophosphate_dehydrogenase_guaB	COG0516_K00088
F3MB_nucleotide_metabolism	F3MB_03_guanine_biosynthesis	F3MB_03_B015_GMP_synthetase	F3MB_03_B015_GMP_synthetase_guaA	COG0519_K01951
F3MB_nucleotide_metabolism	F3MB_03_guanine_biosynthesis	F3MB_03_B015_GMP_synthetase	F3MB_03_B015_GMP_synthetase_guaA	COG0518_K01951
F3MB_nucleotide_metabolism	F3MB_03_guanine_biosynthesis	F3MB_03_B016_Guanylate_kinase	F3MB_03_B016_Guanylate_kinase_gmK	COG0194_K00942
F3MB_nucleotide_metabolism	F3MB_03_guanine_biosynthesis	F3MB_03_B017_GMP_reductase	F3MB_03_B017_GMP_reductase_guaC	COG0516_K00364
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B018_Aspartate_ornithine_carbamoyltransferase	F3MB_04_B018_Aspartate_ornithine_carbamoyltransferase_regulatory_subunit_pyrI	COG1781_K00610
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B018_Aspartate_ornithine_carbamoyltransferase	F3MB_04_B018_Aspartate_ornithine_carbamoyltransferase_solute-binding_subunit_pyrB	COG0540_K00609
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B019_Dihydroorotase	F3MB_04_B019_Dihydroorotase_1_pyrC1	COG0044_K01465
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B019_Dihydroorotase	F3MB_04_B019_Dihydroorotase_2_pyrC2	COG0418_K01465
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B019_Dihydroorotase	F3MB_04_B019_Dihydroorotase_3_pyrC3	COG3964_K01465
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B020_Dihydroorotate_dehydrogenase	F3MB_04_B020_Dihydroorotate_dehydrogenase_electron_transfer_subunit_pyrK	COG0543_K02823
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B020_Dihydroorotate_dehydrogenase	F3MB_04_B020_Dihydroorotate_dehydrogenase_type_2_pyrD1	COG0167_K00254
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B020_Dihydroorotate_dehydrogenase	F3MB_04_B020_Dihydroorotate_dehydrogenase_type_2_pyrD2	COG0167_K00226_*
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B021_Orotate_phosphoribosyltransferase	F3MB_04_B021_Orotate_phosphoribosyltransferase_pyrE	COG0461_K00762
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B022_Orotidine-5-phosphate_decarboxylase	F3MB_04_B022_Orotidine-5-phosphate_decarboxylase_pyrF	COG0284_K01591
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B023_CTP_synthetase	F3MB_04_B023_CTP_synthetase_pyrG	COG0504_K01937
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B024_UMP_kinase	F3MB_04_B024_UMP_kinase_pyrH	COG0528_K09903
F3MB_nucleotide_metabolism	F3MB_04_pyrimidine_biosynthesis	F3MB_04_B065_Thymidylate_synthase	F3MB_04_B065_Thymidylate_synthase_thyA	COG0207_K00560
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B025_Uracil_phosphoribosyltransferase	F3MB_05_B025_Uracil_phosphoribosyltransferase_upp	COG0035_K00761
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B026_Thymidine_kinase	F3MB_05_B026_Thymidine_kinase_tdkA	COG1435_K00857
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B027_Uridine_cytidine_kinase	F3MB_05_B027_Uridine_cytidine_kinase_udk	COG0572_K00876
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B028_Nucleoside_diphosphate_kinase	F3MB_05_B028_Nucleoside_diphosphate_kinase_ndk	COG0105_K00940
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B029_Thymidylate_kinase	F3MB_05_B029_Thymidylate_kinase_tdkB	COG0125_K00943
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B030_Cytidylate_kinase	F3MB_05_B030_Cytidylate_kinase_cmk	COG0283_K00945
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B031_Phosphoribosylpyrophosphate_synthetase	F3MB_05_B031_Phosphoribosylpyrophosphate_synthetase_prs	COG0462_K00948
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B032_5-nucleotidase_UDP-sugar_hydrolase	F3MB_05_B032_5-nucleotidase_UDP-sugar_hydrolase_yunD	COG0737_K01081
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B033_dGTP_triphosphohydrolase	F3MB_05_B033_dGTP_triphosphohydrolase_dgt	COG0232_K01129
F3MB_nucleotide_metabolism	F3MB_05_nucleotide_housekeeping_pathways	F3MB_05_B034_Dihydropyrimidinase	F3MB_05_B034_Dihydropyrimidinase_hydA	COG0044_K01464
