specI	species	main_module	food_microbiome_metabolic_module	food_microbiome_metabolic_function	food_microbiome_functional_gene	gene	DO_IRD_Fa_Ma1_1
specI_v4_01055	Acetobacter tropicalis	F3MD_DNA_metabolism	F3MD_04_DNA_damage_repair	F3MD_04_D018_DNA_oxydative_damage_repair_system_mut	F3MD_04_D018_DNA_oxidative_damage_mismatch_repair_mutT	104102.SAMD00019861.GCA_000787635_01602	2.019854140664331
specI_v4_01055	Acetobacter tropicalis	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_ABC_transport_systems	F3MU_11_U086_iron_ABC_transport_systems	F3MU_11_U086_Iron_complex_ABC_transport_system_substrate-binding_protein_fhuD	104102.SAMD00019861.GCA_000787635_02939	1.1740848273472877
specI_v4_01055	Acetobacter tropicalis	F3MB_nucleotide_metabolism	F3MB_07_nucleoside_deaminases_pathways	F3MB_07_B045_Adenine_deaminase	F3MB_07_B045_Adenine_deaminase_ade	104102.SAMN02866222.GCA_002153795_01484	1.1282377118481577
specI_v4_02227	Ligilactobacillus acidipiscis	F3MA_RNA_metabolism	F3MA_01_RNA_transcription	F3MA_01_R001_RNA_polymerase_rpo	F3MA_01_R001_DNA-dependent_RNA_polymerase_subunitC_rpoC	1046599.SAMD00036563.GCA_000260635_00274	0.5438068840250121
specI_v4_02227	Ligilactobacillus acidipiscis	F3MC_carbohydrate_metabolism	F3MC_06_cellobiose_mannose_catabolism	F3MC_06_C035_6-phospho-beta-D-glucosidase_mannosidase	F3MC_06_C035_6-phospho-beta-D-glucosidase_mannosidase_bglA	1046599.SAMD00036563.GCA_000260635_00537	0.6951171676554025
specI_v4_02227	Ligilactobacillus acidipiscis	F3MU_uptake_transport_systems	F3MU_08_amino_acids_amines_ABC_transport_systems	F3MU_08_U070_cysteine_methionine_ABC_transporters	F3MU_08_U070_D-methionine_ABC_transport_system_ATP-binding_protein_metN	1046599.SAMD00036563.GCA_000260635_00674	0.9255320505272492
specI_v4_02227	Ligilactobacillus acidipiscis	F3MC_carbohydrate_metabolism	F3MC_13_lactose_galactose_catabolism	F3MC_13_C081_UTP-glucose-1-phosphate_uridylyltransferase	F3MC_13_C081_UTP-glucose-1-phosphate_uridylyltransferase_galU	1046599.SAMD00036563.GCA_000260635_00937	1.1149865977828268
specI_v4_02227	Ligilactobacillus acidipiscis	F3MC_carbohydrate_metabolism	F3MC_08_NAG_chitobiose_catabolism	F3MC_08_C043_N-acetylglucosamine-6-phosphate_deacetylase	F3MC_08_C043_N-acetylglucosamine-6-phosphate_deacetylase_nagA	1046599.SAMD00036563.GCA_000260635_01662	0.8454605754180214
specI_v4_00097	Lacticaseibacillus paracasei	F3MW_cell_wall_metabolism	F3MW_04_teichoic_acid_biosynthesis	F3MW_04_W020_N-acetylglucosaminyldiphosphoundecaprenol_N-acetyl-beta-D-mannosaminyltransferase	F3MW_04_W020_N-acetylglucosaminyldiphosphoundecaprenol_N-acetyl-beta-D-mannosaminyltransferase_tagA	1051651.SAMN02472009.GCA_000309585_03109	1.3730000253689356
specI_v4_00097	Lacticaseibacillus paracasei	F3MT_translation_and_posttranslation_processes	F3MT_01_Amino_acyl-tRNA_biosynthesis	F3MT_01_T019_Seryl-tRNA_synthetase	F3MT_01_T019_Seryl-tRNA_synthetase_trpS	1051653.SAMN02472007.GCA_000309625_03295	3.804572589381096
