seqname	seqlen	ARO	ARO Name	AMR Gene Family	Drug Class	Resistance Mechanism	RMa01	RMa02	RMa03	RMa04	RMa05	FMa01	FMa02	FMa03	FMa04	FMa05	RMi01	RMi02	RMi03	RMi04	FMi01	FMi02	FMi03	FMi04	FMi05	RMM1	RMM2	RMM3	RMM4	RMM5	FMM1	FMM2	FMM3	FMM4	FMM5	RSo01	RSo02	RSo03	RSo04	RSo05	FSo01	FSo02	FSo03	FSo04	FBo01	FSd10	FSd09	FSd08	FSd07	FSd06	FSd05	FSd40	FSd39	FSd38	FSd37	FSd36	FSd35	FSd34	FSd33	FSd32	FSd31	FSd04	FSd30	FSd29	FSd28	FSd27	FSd26	FSd25	FSd24	FSd23	FSd22	FSd21	FSd03	FSd20	FSd19	FSd18	FSd17	FSd16	FSd15	FSd14	FSd13	FSd12	FSd11	FSd02	FSd01	FPz04	FPz03	FPz02	FIn02	FIn01	FJb02	FJb01	FOg12	FOg11	FKu04	FMs02	FUg04	FUg02	FUg01	FOg03	FOb01	FKu06	FKu05	FKo01	FOg10	FOg09	FOg08	FFu02	FOg07	FKu01	FOg06	FOg05	FKu03	FZo02	FZo01	FKu02	FOg04	FOg02	FOg01
gb|GQ343019.1|+|132-1023|ARO:3002999|CblA-1	891	ARO:3002999	CblA-1	CblA beta-lactamase	cephalosporin	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|HQ845196.1|+|0-861|ARO:3001109|SHV-52	861	ARO:3001109	SHV-52	SHV beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|AF028812.1|+|392-887|ARO:3002867|dfrF	495	ARO:3002867	dfrF	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|JX017365.1|+|244-1120|ARO:3001989|CTX-M-130	876	ARO:3001989	CTX-M-130	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|JN967644.1|+|0-813|ARO:3002356|NDM-6	813	ARO:3002356	NDM-6	NDM beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|LC004922.1|+|0-1146|ARO:3001855|ACT-35	1146	ARO:3001855	ACT-35	ACT beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|AF135373.1|+|11-908|ARO:3002244|CARB-5	897	ARO:3002244	CARB-5	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|AY234334.1|+|0-846|ARO:3000600|Erm(34)	846	ARO:3000600	Erm(34)	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|AY628199.1|+|203-1064|ARO:3000988|TEM-126	861	ARO:3000988	TEM-126	TEM beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
gb|EU408351.1|+|16572-17454|ARO:3002511|LRA-12	882	ARO:3002511	LRA-12	subclass B3 LRA beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
