mag_id	full_id	raw_mag_id	origin	type	clean_id	raw_id	domain	phylum	class	order	family	genus	species	Completeness	Contamination	Coverage	Quality	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	n_bases	studyId	sampleId	runId
Acinetobacter_baumannii_MQ_bin.2.DO_IRD_Fa_Ma2_1.strict.fa	Aci.bau_MQ_FMa01	bin.2.DO_IRD_Fa_Ma2_1.strict	couscous	couscous	FMa01	DO_IRD_Fa_Ma2_1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	67.95	3.68	9.71	MQ	15759	284.6953889	2099944	0.39	2147	247	46674	20385294	ERP189200	ERS29072659	ERR16930737
Acinetobacter_baumannii_MQ_bin.3.DO_IRD_Fa_Ma2_5.strict.fa	Aci.bau_MQ_FMa05	bin.3.DO_IRD_Fa_Ma2_5.strict	couscous	couscous	FMa05	DO_IRD_Fa_Ma2_5	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	75.06	1.66	5.71	MQ	10618	273.1990192	2285375	0.39	2447	372	46309	13060851	ERP189200	ERS29072659	ERR16930737
Acinetobacter_baumannii_MQ_bin.4.DO_IRD_Fa_MM2_4.strict.fa	Aci.bau_MQ_FMM4	bin.4.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	77.79	0.82	6.05	MQ	11413	272.081506	2252455	0.39	2417	364	54770	13630056	ERP189200	ERS29072659	ERR16930737
Acinetobacter_baumannii_MQ_bin.6.DO_IRD_Fa_Ma2_4.strict.fa	Ace.bau_MQ_FMa04	bin.6.DO_IRD_Fa_Ma2_4.strict	couscous	couscous	FMa04	DO_IRD_Fa_Ma2_4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	59.94	0.22	6.53	MQ	19346	291.4972477	1621608	0.4	1635	148	75763	10588772	ERP189200	ERS29072659	ERR16930737
Acinetobacter_sp013417555_MQ_bin.1.DO_IRD_Fa_Ma2_4.strict.fa	Aci.013_MQ_FMa04	bin.1.DO_IRD_Fa_Ma2_4.strict	couscous	couscous	FMa04	DO_IRD_Fa_Ma2_4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp013417555	61.58	0.15	5.31	MQ	7580	258.3759036	1866660	0.43	2075	350	34556	9917639	ERP189200	ERS29072659	ERR16930737
Acinetobacter_sp013417555_MQ_bin.2.DO_IRD_Fa_Ma2_3.strict.fa	Aci.013_MQ_FMa03	bin.2.DO_IRD_Fa_Ma2_3.strict	couscous	couscous	FMa03	DO_IRD_Fa_Ma2_3	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp013417555	66.42	0.33	6.04	MQ	7803	267.0703586	2030731	0.43	2203	377	31455	12268099	ERP189200	ERS29072659	ERR16930737
Acinetobacter_sp013417555_MQ_bin.3.DO_IRD_Fa_Ma2_1.strict.fa	Aci.013_MQ_FMa01	bin.3.DO_IRD_Fa_Ma2_1.strict	couscous	couscous	FMa01	DO_IRD_Fa_Ma2_1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp013417555	53.67	1.28	12.36	MQ	8515	282.4295062	1618993	0.44	1681	263	36485	20009884	ERP189200	ERS29072660	ERR16930738
Cronobacter_dublinensis_MQ_bin.1.DO_IRD_Fa_Mi2_5.strict.fa	Cro.dub_MQ_FMi05	bin.1.DO_IRD_Fa_Mi2_5.strict	couscous	couscous	FMi05	DO_IRD_Fa_Mi2_5	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter dublinensis	82.3	0.77	6.45	MQ	14397	299.769632	3479098	0.59	3451	417	130124	22428932	ERP189200	ERS29072661	ERR16930739
Cronobacter_dublinensis_MQ_bin.3.DO_IRD_Fa_Mi2_3.strict.fa	Cro.dub_MQ_FMi03	bin.3.DO_IRD_Fa_Mi2_3.strict	couscous	couscous	FMi03	DO_IRD_Fa_Mi2_3	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter dublinensis	51.7	1.08	15.91	MQ	25962	290.1078858	2054837	0.59	2067	260	94026	32682267	ERP189200	ERS29072661	ERR16930739
Empedobacter_falsenii_HQ_bin.7.DO_IRD_Fa_MM2_4.strict.fa	Emp_fal_HQ_FMM4	bin.7.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter falsenii	99.49	1.17	11.29	HQ	32571	301.9078523	2817845	0.32	2789	215	149214	31816294	ERP189200	ERS29072661	ERR16930739
